POSICAO;SCORE;ACAO;COD_PRODUTO;PRODUTO;MARCA;GRUPO;CUSTO;PRECO_PRA_COMPETIR;SOBRA_RS;SOBRA_PCT;VISITAS_JANELA;VISITAS_DIA;TENDENCIA;CONCORRENTES;LOJAS_OFICIAIS;ANUNCIOS_MEDIDOS;PRECO_NA_ANALISE;SOBRA_PCT_NA_ANALISE;TIER;VERIFICACAO;POR_QUE;URL_CATALOGO;URL_CONCORRENTE
1;88;ANUNCIAR JA;151857;PRATO DE SOBREMESA 19cm DE PORCELANA NEW BONE BUTTERFLY FLOWER - LYOR;LYOR;UTILIDADES DOMÉSTICAS;11,13;34,99;12,36;35,3;1188;19,80;caindo;2;0;2;34,99;38,1;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB38186239;https://produto.mercadolivre.com.br/MLB-3876911139
2;87;ANUNCIAR JA;144768;PASTA CATALOGO A4/100 PLASTICOS EXECUTIVE PRETA - DELLO;DELLO;MATERIAIS;26,88;68,90;27,47;39,9;1064;17,73;subindo;2;0;3;67,80;39,3;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB28024300;https://produto.mercadolivre.com.br/MLB-3715763493
3;86;ANUNCIAR JA;154219;GARRAFA TERMICA 710ml QUICK FLIP AZUL - STANLEY;STANLEY;BAZAR;152,21;339,34;101,89;30,0;5732;95,53;estavel;3;0;3;339,34;30,4;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB41766288;https://produto.mercadolivre.com.br/MLB-3894269321
4;85;SEGUNDA RODADA;159413;APARELHO DE FONDUE 11PÇS CERÂMICA AZUL - BRINOX;BRINOX;UTILIDADES DOMÉSTICAS;55,95;227,69;93,76;41,2;4546;75,77;caindo;1;1;2;149,90;31,2;conferir;DUVIDOSA;tem loja oficial vendendo;https://www.mercadolivre.com.br/p/MLB27075100;https://produto.mercadolivre.com.br/MLB-4708913101
5;85;ANUNCIAR JA;137436;LAPISEIRA 0.7mm MOVE - CIS;CIS;MATERIAIS;4,03;22,50;9,05;40,2;1304;21,73;estavel;4;0;3;23,87;44,4;conferir;DUVIDOSA;concorrente baixou 6%;https://www.mercadolivre.com.br/p/MLB25706675;https://produto.mercadolivre.com.br/MLB-6472157530
6;83;ANUNCIAR JA;153082;COPO TERMICO 473ml CERVEJA GREEN - STANLEY;STANLEY;BAZAR;58,54;140,34;35,66;25,4;3363;56,05;subindo;2;0;2;148,58;28,9;conferir;DUVIDOSA;concorrente baixou 6%;https://www.mercadolivre.com.br/p/MLB62752711;https://produto.mercadolivre.com.br/MLB-6470806642
7;82;ANUNCIAR JA;160568;CACAROLA 2,5L LEIRE VIDRO BOROSSILICATO - WOLFF;WOLFF;UTILIDADES DOMÉSTICAS;40,23;114,90;31,21;27,2;1049;17,48;estavel;1;0;2;107,90;23,4;competir;CONFIRMADA;;https://www.mercadolivre.com.br/p/MLB67817066;https://produto.mercadolivre.com.br/MLB-6993985244
8;80;ANUNCIAR JA;110822;CUMBUCA 500ml PORCELANA CAPRI GRANDE - TERRAMADA;TERRAMADA;UTILIDADES DOMÉSTICAS;9,76;23,47;4,51;19,2;9005;150,08;caindo;1;0;1;23,47;19,2;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB24353583;https://produto.mercadolivre.com.br/MLB-3801291481
9;78;ANUNCIAR JA;150536;CAIXA TERMICA 12L TROPICAL CINZA CLARO;SOPRANO;BAZAR;32,38;60,99;13,43;22,0;3054;50,90;caindo;3;0;3;60,99;24,8;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB28287363;https://produto.mercadolivre.com.br/MLB-4539503052
10;77;ANUNCIAR JA;144598;CANUDO BIODEGRADAVEL C/ 500 - THEOTO;THEOTO;MATERIAIS;14,86;34,26;7,33;21,4;2336;38,93;subindo;3;0;3;29,60;16,3;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB24404840;https://produto.mercadolivre.com.br/MLB-4903672665
11;76;ANUNCIAR JA;145819;MOCHILA 26L CROSS TOWN NEON MARGARIDA - JANSPORT;JANSPORT;MATERIAIS;132,00;287,04;77,03;26,8;622;10,37;subindo;1;0;1;287,04;26,8;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB24518759;https://produto.mercadolivre.com.br/MLB-6582534832
12;76;SEGUNDA RODADA;121815;FAQUEIRO 30PCS IPANEMA ROSA - SORTIDOS COM LAMINAS DE ACO INOX E CABOS DE POLIPROPILENO - TRAMONTINA;TRAMONTINA;UTILIDADES DOMÉSTICAS;34,69;102,99;26,46;25,7;35387;589,78;estavel;1;1;1;102,99;25,7;conferir;DUVIDOSA;tem loja oficial vendendo;https://www.mercadolivre.com.br/p/MLB35310877;https://produto.mercadolivre.com.br/MLB-5139657356
13;76;ANUNCIAR JA;102703;ESTOJO MULTIUSO FUME - INJECT;INJECT;MATERIAIS;5,03;19,90;6,08;30,6;450;7,50;estavel;1;0;1;19,90;30,6;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB50310674;https://produto.mercadolivre.com.br/MLB-4072919473
14;75;ANUNCIAR JA;149988;TAPETE CAPACHO WELCOME BORRACHA E FIBRA DE COCO 40x60cm - CLINK;CLINK;BAZAR;5,95;39,33;22,35;56,8;416;6,93;subindo;3;0;3;39,33;56,8;competir;CONFIRMADA;;https://www.mercadolivre.com.br/p/MLB44687754;https://produto.mercadolivre.com.br/MLB-6206993896
15;75;ANUNCIAR JA;7788;LIVRO CAIXA 100FLS - TILIBRA;TILIBRA;ESCRITÓRIO E INFORMÁTICA;10,54;46,64;23,94;51,3;338;5,63;caindo;2;0;3;44,23;50,0;competir;CONFIRMADA;;https://www.mercadolivre.com.br/p/MLB26391281;https://produto.mercadolivre.com.br/MLB-4230710764
16;75;ANUNCIAR JA;145669;LAPISEIRA GRAPHGEAR 0.5 VERDE - PENTEL;PENTEL;MATERIAIS;15,49;33,17;5,70;17,2;2840;47,33;subindo;2;0;2;33,17;22,2;competir;CONFIRMADA;;https://www.mercadolivre.com.br/p/MLB24454352;https://produto.mercadolivre.com.br/MLB-7095659830
