COD_PRODUTO;PRODUTO;GRUPO;SUBGRUPO; ULTIMO_CUSTO ;REFERENCIA;MARCA;COD_BARRAS;NCM;DESCRICAO_RESUMIDA;CEST;COD_BARRAS_NF
4323;ENVELOPE OURO 16x22cm KRAFT OURO - FORONI;ESCRITÓRIO E INFORMÁTICA;ENVELOPES; R$ 0,15 ;18.2723-4;FORONI;4323;48171000;ENVELOPE OURO 16x22cm KRAFT OURO - FORONI;1901900;7896212687237
4346;CANETA PARA TECIDO AZUL TURQUESA ACRILPEN 501 - ACRILEX;MATERIAIS;CANETAS; R$ 4,83 ;4412501;ACRILEX;7891153044323;96082000;CANETA PARA TECIDO AZUL TURQUESA ACRILPEN 501 - ACRILEX;1902800;7891153830940
4347;CANETA PARA TECIDO VERDE MUSGO ACRILPEN 513 - ACRILEX;MATERIAIS;CANETAS; R$ 4,83 ;44120513;ACRILEX;7891153044361;96082000;CANETA PARA TECIDO VERDE MUSGO ACRILPEN 513 - ACRILEX;1902800;7891153830988
4348;CANETA PARA TECIDO MARROM ACRILPEN 531- ACRILEX;MATERIAIS;CANETAS; R$ 4,83 ;44120531;ACRILEX;7891153044408;96082000;CANETA PARA TECIDO MARROM ACRILPEN 531- ACRILEX;1902800;7891153840024
4369;TALAGARÇA BRANCA;MATERIAIS;TELAS; R$ 11,87 ;;;4369;52081100;TALAGARÇA BRANCA;2806000;
4376;PLASTICO P/ ENCAPAR ROLO 2 METROS SORTIDO - MERCUR;MATERIAIS;PLASTICOS; R$ 1,01 ;;MERCUR;9990000043767;39261000;PLASTICO P/ ENCAPAR ROLO;1900400;
4394;TINTA TEMPERA GUACHE 250ml AZUL CELESTE 503 - ACRILEX;MATERIAIS;TINTAS; R$ 5,65 ;2025503;ACRILEX;7891153020136;32131000;TINTA TEMPERA GUACHE 250ml AZUL CELESTE 503 - ACRILEX;1900100;7891153002217
4395;TINTA TEMPERA GUACHE 250ml VERDE BANDEIRA 511- ACRILEX;MATERIAIS;TINTAS; R$ 5,50 ;2025511;ACRILEX;7891153020174;32131000;TINTA TEMPERA GUACHE 250ml VERDE BANDEIRA 511- ACRILEX;1900100;7891153002255
4396;TINTA TEMPERA GUACHE 250ml LARANJA 517 - ACRILEX;MATERIAIS;TINTAS; R$ 5,65 ;20250517;ACRILEX;7891153020181;32131000;TINTA TEMPERA GUACHE 250ml LARANJA 517 - ACRILEX;1900100;7891153002262
4397;TINTA TEMPERA GUACHE 250ml ROSA 537 - ACRILEX;MATERIAIS;TINTAS; R$ 5,65 ;2025537;ACRILEX;7891153020228;32131000;TINTA TEMPERA GUACHE 250ml ROSA 537 - ACRILEX;1900100;7891153020228
4398;TINTA TEMPERA GUACHE 250ml MARROM 531- ACRILEX;MATERIAIS;TINTAS; R$ 5,65 ;2025531;ACRILEX;7891153020211;32131000;TINTA TEMPERA GUACHE 250ml MARROM 531- ACRILEX;1900100;7891153002293
